sl_buffer_atr,min_rr,train_trades,train_profit_factor,train_win_rate,test_trades,test_profit_factor,test_win_rate,test_net_pnl_usd
0.0,0.0,1763,0.6341635358399292,0.2841747022121384,618,0.8645983786981618,0.33980582524271846,-12702.5
0.0,0.5,1334,0.7164595934014639,0.30434782608695654,499,0.9456067946647527,0.342685370741483,-4547.0
0.0,1.0,1044,0.7638031503232268,0.26436781609195403,408,0.9577936488722107,0.29901960784313725,-3138.0
0.0,1.5,856,0.7423641118363928,0.21962616822429906,322,0.9290032204244753,0.2422360248447205,-4574.5
0.0,2.0,703,0.7777688512785722,0.19914651493598862,253,0.9888560824131579,0.22134387351778656,-602.0
0.05,0.0,1710,0.617848723886383,0.29883040935672517,586,0.828881437344899,0.3583617747440273,-14128.82814415278
0.05,0.5,1272,0.7003754379227951,0.3191823899371069,466,0.9160155844991686,0.3626609442060086,-6062.237606148097
0.05,1.0,973,0.7258637931352149,0.2672147995889003,376,0.9222081063019234,0.31648936170212766,-4942.689980367511
0.05,1.5,783,0.7078110170626875,0.227330779054917,283,0.8815615019552597,0.2579505300353357,-6220.885466255902
0.05,2.0,580,0.7323471027184917,0.20344827586206896,218,0.952468591209668,0.22477064220183487,-2068.6849551943305
0.1,0.0,1643,0.6525556004791738,0.3171028606208156,554,0.7621537059712491,0.36823104693140796,-17858.724686899965
0.1,0.5,1211,0.7317675920449451,0.3344343517753922,436,0.8637141880092123,0.3830275229357798,-8770.925712225042
0.1,1.0,911,0.7595076755516282,0.27771679473106475,348,0.8255685946285972,0.32471264367816094,-9936.888651869886
0.1,1.5,697,0.7759430728337985,0.24390243902439024,248,0.8503016163480881,0.2701612903225806,-6677.827971173268
0.1,2.0,483,0.8790534595410093,0.2318840579710145,170,0.8033264310929252,0.21176470588235294,-6557.052656741158
0.2,0.0,1520,0.6565611118237159,0.3473684210526316,484,0.9011087052203463,0.42355371900826444,-5804.629819269292
0.2,0.5,1096,0.742579178947648,0.36952554744525545,380,0.9630996385442776,0.41842105263157897,-1921.587558021085
0.2,1.0,788,0.7699783338978782,0.30710659898477155,284,0.9889150889999395,0.36971830985915494,-472.40959287710575
0.2,1.5,526,0.8020209133899853,0.2623574144486692,181,0.914467825826243,0.287292817679558,-2673.2383306700576
0.2,2.0,343,0.9036996270054177,0.2565597667638484,124,0.9449409495465493,0.25806451612903225,-1255.768297542054
0.3,0.0,1379,0.6610231173279241,0.3734590282813633,424,0.8400623569048716,0.4339622641509434,-7981.045221686174
0.3,0.5,986,0.7243756878687376,0.385395537525355,324,0.8947976748196268,0.4166666666666667,-4610.365777452003
0.3,1.0,668,0.7215276977083402,0.30988023952095806,221,0.9464547557595946,0.3574660633484163,-1751.855320122333
0.3,1.5,400,0.764116200638437,0.2675,132,0.9791910634782993,0.3106060606060606,-443.5845132859831
0.3,2.0,226,0.7344053696528307,0.21238938053097345,78,1.0541704751895515,0.2948717948717949,695.9622550806089
0.5,0.0,1145,0.7535461115240943,0.4462882096069869,300,0.9378300558818663,0.5133333333333333,-1867.1696957051972
0.5,0.5,773,0.8123584878881859,0.4411384217335058,210,0.9669010465728475,0.47619047619047616,-855.9076867020995
0.5,1.0,435,0.8653989263051087,0.3724137931034483,116,1.0049169665807083,0.4051724137931034,78.7789954744876
0.5,1.5,212,0.8240474231885657,0.29245283018867924,59,1.0181434502939117,0.3559322033898305,160.53700475809455
0.5,2.0,87,0.9135785405792056,0.25287356321839083,34,0.7097821087152348,0.23529411764705882,-1795.3009302370556
0.75,0.0,888,0.8631078640994065,0.5315315315315315,191,0.8752095659694189,0.5549738219895288,-2270.9794353084217
0.75,0.5,549,0.924779922860864,0.5045537340619308,116,0.9715214937181983,0.5172413793103449,-387.0636159319547
0.75,1.0,250,0.9135640393014878,0.412,52,0.917516887422364,0.4230769230769231,-574.4374303461664
0.75,1.5,77,0.8487647747970323,0.3246753246753247,18,0.5284859488287954,0.2222222222222222,-1533.568697327115
0.75,2.0,30,0.7595886362326905,0.23333333333333334,3,0.0,0.0,-758.2128114714942
1.0,0.0,659,0.9340548826101325,0.590288315629742,103,1.1392231462995428,0.6699029126213593,1061.5656890014798
1.0,0.5,358,1.0400145281310764,0.5586592178770949,47,1.1934914032650217,0.5957446808510638,949.5475578474216
1.0,1.0,113,0.9362489508974974,0.40707964601769914,14,1.4113371816103928,0.5714285714285714,665.0902191769928
1.0,1.5,30,0.7973558320373869,0.3,2,0.0,0.0,-564.4187969307968
1.0,2.0,7,0.9560193255267544,0.2857142857142857,0,,,0.0
