htf_rule,max_wait_htf_bars,min_gap_atr,min_body_ratio,min_range_atr,touch_tol_atr,sl_buffer_atr,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
15min,4,0.75,0.5,0.6,0.05,0.05,0.0,49,0.8893291982503918,0.42857142857142855,-0.03801254889004057,22,0.6488266886046962,0.4090909090909091,-0.08585702271994881,-409.9902210166547,-700.629945019522,3.727272727272727
15min,3,0.75,0.5,0.6,0.05,0.05,0.0,44,1.2539097060712034,0.4772727272727273,0.034149786318363594,22,0.6488266886046962,0.4090909090909091,-0.08585702271994881,-409.9902210166547,-700.629945019522,3.727272727272727
15min,2,0.75,0.5,0.6,0.05,0.05,0.0,37,1.4386306785491927,0.5405405405405406,0.06281537066979526,17,0.617924847068467,0.35294117647058826,-0.06938752629017256,-264.84974826437247,-500.08548380818684,0.23529411764705882
15min,2,0.75,0.5,0.6,0.05,0.1,0.0,37,1.2662769220685002,0.5405405405405406,0.05393617502243165,17,0.617924847068467,0.35294117647058826,-0.0685250684159911,-264.84974826437247,-500.08548380818684,0.23529411764705882
15min,3,0.75,0.5,0.6,0.05,0.1,0.0,44,1.1467235431649945,0.4772727272727273,0.02707846885106937,22,0.5486247562668236,0.4090909090909091,-0.08458829700831079,-516.4859659783542,-751.7217015221686,3.727272727272727
15min,4,0.75,0.5,0.6,0.05,0.1,0.0,49,0.8131510743725359,0.42857142857142855,-0.04343871980058528,22,0.5486247562668236,0.4090909090909091,-0.08458829700831079,-516.4859659783542,-751.7217015221686,3.727272727272727
15min,2,0.5,0.5,0.6,0.05,0.1,0.0,81,0.8294473279723071,0.48148148148148145,-0.03132851892334272,44,0.513763442473528,0.3409090909090909,-0.11816979857722985,-1254.4696148688672,-1681.595885288465,0.75
15min,2,0.5,0.5,0.6,0.05,0.05,0.0,82,0.8709295877827321,0.47560975609756095,-0.026224734050524477,44,0.5128151293449168,0.3409090909090909,-0.11626408851006978,-1315.827602784615,-1783.0288086525761,0.75
15min,3,0.5,0.5,0.6,0.05,0.05,0.0,86,1.009428971483099,0.4883720930232558,0.004105293185397239,51,0.4674032007554919,0.35294117647058826,-0.1495007932919712,-1953.3094727131465,-2161.038225991717,2.4705882352941178
15min,4,0.5,0.5,0.6,0.05,0.05,0.0,94,0.837605155987835,0.4574468085106383,-0.03905222015260109,52,0.4623604423977743,0.34615384615384615,-0.15303603444661276,-1993.3094727131465,-2201.038225991717,2.423076923076923
15min,3,0.5,0.5,0.6,0.05,0.1,0.0,85,0.9771975604556412,0.49411764705882355,-0.0007776766105137726,51,0.43135938430926274,0.35294117647058826,-0.1509162805840918,-2010.2213565682105,-2204.3570742862576,2.4705882352941178
15min,4,0.5,0.5,0.6,0.05,0.1,0.0,93,0.8016200694537251,0.46236559139784944,-0.0446512111624566,52,0.41789000623956946,0.34615384615384615,-0.19559161465552985,-2124.165383594511,-2318.301101312558,2.423076923076923
15min,1,0.5,0.5,0.6,0.05,0.1,0.0,60,0.6580600361686735,0.48333333333333334,-0.07704375958607722,33,0.3899149120058094,0.3333333333333333,-0.1339624144937449,-1081.4073425473107,-1343.9627621745967,0.8181818181818182
15min,1,0.5,0.5,0.6,0.05,0.05,0.0,61,0.653254353547307,0.47540983606557374,-0.07397059351955715,33,0.365013958637704,0.3333333333333333,-0.13438558774972295,-1202.3293661378702,-1464.8847857651563,0.8181818181818182
