min_gap_atr,min_body_ratio,min_range_atr,invalidate_buffer_atr,touch_tol_atr,sl_buffer_atr,max_fvg_age,piv_left,piv_right,min_rr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,2.0,101,1.0826002664681362,0.24752475247524752,0.04307310607562137,33,1.2918733929481225,0.30303030303030304,0.17073948409247736,1819.9772495713478,-2789.1100474119303,6.303030303030303
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.5,113,1.066706592824648,0.25663716814159293,0.02433419809787429,37,1.0576264499403367,0.2972972972972973,-0.02456199941185888,391.0789095070795,-2789.1100474119303,5.027027027027027
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,120,1.053867969628467,0.26666666666666666,-0.020664319306535308,36,1.2613513330005086,0.3611111111111111,0.13276120101173675,1579.9724055795014,-2736.965308552659,5.388888888888889
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,2.0,103,1.0517587123976435,0.23300970873786409,0.008784452897423396,33,1.2918733929481225,0.30303030303030304,0.17073948409247736,1819.9772495713478,-2789.1100474119303,6.303030303030303
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,1.5,111,1.0493410092532183,0.26126126126126126,-0.005191428988710286,37,1.1723907530903577,0.32432432432432434,0.09630196984306996,1145.4135300803246,-2933.6048810245557,5.1891891891891895
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,120,1.0491915413771062,0.26666666666666666,-0.020457482801168235,37,1.312882476094695,0.3783783783783784,0.15905639097096502,1892.7046511687367,-2424.2330629634234,5.621621621621622
0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,1.0,71,1.3279536181051366,0.38028169014084506,0.16003951240325975,27,1.047965723243426,0.37037037037037035,-0.024231712475398067,193.47691425251105,-1997.3869046664986,7.814814814814815
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,1.5,111,1.0435585464604533,0.26126126126126126,-0.0049365187334392355,37,1.1723907530903577,0.32432432432432434,0.09630196984306996,1145.4135300803246,-2933.6048810245557,5.1891891891891895
0.5,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,123,1.0411683348589196,0.2601626016260163,0.0006233883449349255,37,1.1547401827556099,0.32432432432432434,0.0438290637737235,1008.820584551504,-2718.5024251725117,5.621621621621622
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,71,1.304908980274855,0.38028169014084506,0.14871387825530036,27,1.0392536956675917,0.4074074074074074,0.0016338628016484599,152.09205142705468,-1997.3869046664986,7.0
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,1.5,115,1.0372346873542901,0.24347826086956523,-0.006015001781030358,37,1.0576264499403367,0.2972972972972973,-0.02456199941185888,391.0789095070795,-2789.1100474119303,5.027027027027027
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,2.0,54,1.1834230073964445,0.3148148148148148,0.0986992687754283,21,1.0346978946630518,0.3333333333333333,-0.017232858504464352,117.91183865116909,-1829.0206022079947,7.904761904761905
0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,2.0,53,1.0611074553941988,0.2830188679245283,0.005588179049012547,21,1.0346978946630518,0.3333333333333333,-0.017232858504464352,117.91183865116909,-1829.0206022079947,7.904761904761905
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,2.0,99,1.0243976491753015,0.24242424242424243,0.0029654739081816433,33,1.5148236543886469,0.3333333333333333,0.2488491955253755,2881.4412546088643,-2718.5024251725117,6.333333333333333
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,1.5,110,1.0220811631498727,0.2636363636363636,-0.02463042910598411,35,1.2105339194548832,0.34285714285714286,0.0964735537031187,1268.4884462221526,-2736.965308552659,5.0285714285714285
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,2.0,97,1.0176309739934781,0.2268041237113402,-0.027913761114291048,33,1.6427439002447013,0.36363636363636365,0.34611143979234965,3527.280436135261,-2736.965308552659,6.424242424242424
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,1.5,110,1.0163706560687318,0.2636363636363636,-0.024373201484756017,35,1.2105339194548832,0.34285714285714286,0.0964735537031187,1268.4884462221526,-2736.965308552659,5.0285714285714285
0.5,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,125,1.015139121850744,0.248,-0.026951266390209207,38,1.2033005691138399,0.34210526315789475,0.07216676346708586,1325.4075012758258,-2401.91550844819,5.842105263157895
0.5,0.5,0.6,0.05,0.05,0.1,60,3,2,1.0,120,1.014489571310121,0.26666666666666666,-0.047016460592492086,38,1.0138085906315344,0.34210526315789475,-0.02933496638678223,89.9795011476017,-2857.7456127637633,4.657894736842105
0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,1.5,65,1.3269721040492277,0.35384615384615387,0.17482133852058845,26,1.0126755913091816,0.3076923076923077,-0.054350812435833756,53.92495772865368,-2276.0601677572413,7.769230769230769
0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,1.5,66,1.3232999261964515,0.36363636363636365,0.18183755854369643,26,1.0126755913091816,0.3076923076923077,-0.054350812435833756,53.92495772865368,-2276.0601677572413,7.769230769230769
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,2.0,97,1.012606010389444,0.2268041237113402,-0.02765936473787545,33,1.6427439002447013,0.36363636363636365,0.34611143979234965,3527.280436135261,-2736.965308552659,6.424242424242424
0.5,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,120,1.0099875451989693,0.26666666666666666,-0.046809624087124996,39,1.0617651128878696,0.358974358974359,-0.00023193572293693046,402.7117467368371,-2545.013367174528,4.897435897435898
0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,1.0,71,1.2881894377501912,0.36619718309859156,0.13235855066742597,28,0.9959246890119483,0.35714285714285715,-0.06048899664090894,-17.2969350187268,-2208.1607539377364,7.964285714285714
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,2.0,101,0.9947622134861817,0.22772277227722773,-0.0312079519632987,33,1.5148236543886469,0.3333333333333333,0.2488491955253755,2881.4412546088643,-2718.5024251725117,6.333333333333333
0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,1.0,71,1.265207587823947,0.36619718309859156,0.12103291651946663,28,0.9856357431732167,0.39285714285714285,-0.035547191909471254,-58.681797844183166,-2208.1607539377364,7.178571428571429
0.5,0.5,0.6,0.05,0.05,0.1,60,5,2,2.0,99,0.9661993982798508,0.2222222222222222,-0.07247419856449058,31,1.4104731346350605,0.3225806451612903,0.20677715361961133,2271.9341424810555,-2736.965308552659,6.741935483870968
0.75,0.5,0.6,0.05,0.05,0.1,60,3,2,1.5,65,1.3360092198888343,0.36923076923076925,0.1885897885059238,25,0.963611482695699,0.32,-0.07026682020947439,-149.01747368407086,-2276.0601677572413,6.84
0.75,0.5,0.6,0.05,0.05,0.1,60,3,3,1.5,64,1.3401686066382545,0.359375,0.18156944363811456,25,0.963611482695699,0.32,-0.07026682020947439,-149.01747368407086,-2276.0601677572413,6.84
0.5,0.5,0.6,0.05,0.05,0.1,60,5,3,2.0,99,0.9615233405974166,0.2222222222222222,-0.07222494150881072,31,1.4104731346350605,0.3225806451612903,0.20677715361961133,2271.9341424810555,-2736.965308552659,6.741935483870968
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,125,0.9745903168352168,0.248,-0.05424493579570706,40,0.9614460746891609,0.325,-0.09008833561052323,-268.05920519797655,-2511.305660553742,5.125
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,1.5,112,1.0351628241504922,0.25892857142857145,0.0032909826831928257,37,0.9183783496982234,0.2972972972972973,-0.1171655731955668,-553.9210904929205,-2905.1100474119303,4.621621621621622
0.5,0.5,0.6,0.05,0.05,0.05,60,3,3,1.5,114,1.0061424147818352,0.24561403508771928,-0.02695525902947972,37,0.9183783496982234,0.2972972972972973,-0.1171655731955668,-553.9210904929205,-2905.1100474119303,4.621621621621622
0.5,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,123,0.9996584911226012,0.2601626016260163,-0.02711408056309135,39,0.9159125951253317,0.3076923076923077,-0.12113320709083131,-584.6461219222983,-2827.892577278064,4.897435897435898
0.75,0.5,0.6,0.05,0.05,0.1,60,5,2,2.0,56,1.1407456288681102,0.30357142857142855,0.07190856679437828,21,0.8834970911879706,0.2857142857142857,-0.14654887804283426,-413.8486743493413,-2065.3869198601315,9.428571428571429
0.75,0.5,0.6,0.05,0.05,0.1,60,5,3,2.0,55,1.025311079357199,0.2727272727272727,-0.01830376879618691,21,0.8834970911879706,0.2857142857142857,-0.14654887804283426,-413.8486743493413,-2065.3869198601315,9.428571428571429
0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,2.0,58,1.3377785079455276,0.3448275862068966,0.2290330542125455,21,0.8801292240020243,0.2857142857142857,-0.13287249773209414,-442.4433249158392,-2113.5024251725117,9.428571428571429
0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,2.0,57,1.2011534692544643,0.3157894736842105,0.13967284049787587,21,0.8801292240020243,0.2857142857142857,-0.13287249773209414,-442.4433249158392,-2113.5024251725117,9.428571428571429
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,1.0,73,1.2749697421973594,0.3698630136986301,0.14791746886600324,28,0.852383229485547,0.35714285714285715,-0.15460631414834008,-635.1872965770744,-2112.814907074062,7.285714285714286
0.75,0.5,0.6,0.05,0.05,0.05,60,3,2,2.0,56,1.3879511854196414,0.35714285714285715,0.2598965473271067,22,0.8172652263619974,0.2727272727272727,-0.21796882831857528,-675.6523346146787,-2113.5024251725117,7.909090909090909
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,2.0,55,1.2433645448749948,0.32727272727272727,0.16784802571580476,22,0.8172652263619974,0.2727272727272727,-0.21796882831857528,-675.6523346146787,-2113.5024251725117,7.909090909090909
0.75,0.5,0.6,0.05,0.05,0.05,60,5,2,1.0,73,1.304747522758164,0.3698630136986301,0.16397836702189114,28,0.8096936403648906,0.32142857142857145,-0.17833842824135696,-877.3024337516108,-2112.814907074062,8.071428571428571
0.75,0.5,0.6,0.05,0.05,0.05,60,3,3,1.0,73,1.2383521089725618,0.3561643835616438,0.11935005301192579,29,0.7962877815038262,0.3448275862068966,-0.18519206967636015,-938.2878979512025,-2415.91550844819,7.413793103448276
0.75,0.5,0.6,0.05,0.05,0.05,60,5,3,1.0,73,1.2680629808309014,0.3561643835616438,0.1354109511678137,29,0.7597363089792537,0.3103448275862069,-0.2081058350075489,-1180.4030351257388,-2415.91550844819,8.172413793103448
