min_gap_atr,sl_atr_mult,rr_target,min_body_ratio,min_range_atr,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.75,1.5,2.0,0.5,0.6,107,1.2314903627965852,0.37383177570093457,0.11274920274245873,50,1.7866868422007496,0.48,0.33411690184215764,4969.068506959273,-1389.6325865382096,10.56
1.0,1.5,2.0,0.5,0.6,60,0.9953749013656725,0.3333333333333333,-0.019928662422324203,21,1.7722547474139883,0.42857142857142855,0.2753490473753285,2007.1736955085726,-1248.0434242336996,11.428571428571429
0.75,1.25,2.0,0.5,0.6,108,1.3902221991783061,0.4074074074074074,0.20800952819435603,51,1.6845739800277777,0.49019607843137253,0.3599519150277457,5017.936432971852,-1558.8211116150705,8.294117647058824
1.0,1.25,2.0,0.5,0.6,60,1.132630526141462,0.35,0.021905949787296677,21,1.5458044117500196,0.42857142857142855,0.25424782342761,1598.2612605139657,-1443.798548304425,8.666666666666666
0.75,0.75,1.5,0.5,0.6,116,1.567635322469919,0.5,0.2602291111473124,53,1.487132831409722,0.49056603773584906,0.2186026036748457,3637.150916830942,-1514.8149020553828,2.547169811320755
0.75,1.5,1.5,0.5,0.6,110,1.1276429768965548,0.41818181818181815,0.055236419656865196,51,1.4791455897060168,0.5098039215686274,0.18699010944056246,3068.8081495775114,-1429.4973418184018,8.490196078431373
1.25,1.5,2.0,0.5,0.6,29,0.5209426027623505,0.20689655172413793,-0.3626763044447447,15,1.4580868387494403,0.4,0.13166110373390422,934.4639714042132,-831.0816080623772,15.533333333333333
0.75,1.25,1.5,0.5,0.6,113,1.3943931780611478,0.4778761061946903,0.19429600397336347,51,1.4451038138991494,0.5098039215686274,0.22371283519981794,3104.26420324394,-1447.105062411625,6.313725490196078
0.75,0.5,2.0,0.5,0.6,116,1.3647913034594548,0.41379310344827586,0.2239036133099139,55,1.436671862623992,0.41818181818181815,0.26295847811960843,3971.572990235676,-2312.3516776312536,1.0727272727272728
0.75,0.5,1.5,0.5,0.6,116,1.4222554182523015,0.49137931034482757,0.22487069058405307,56,1.417783366705131,0.48214285714285715,0.22870670626804349,3437.8243935192586,-1442.888073210146,0.5892857142857143
0.5,1.25,2.0,0.5,0.6,184,1.1935528461042173,0.3695652173913043,0.09314886892578868,90,1.4056195957978388,0.4222222222222222,0.23518735397519863,5730.106936154036,-2109.5684579067674,7.277777777777778
0.75,0.75,2.0,0.5,0.6,117,1.4768318171915735,0.4188034188034188,0.25638074832825186,52,1.3743258724416603,0.40384615384615385,0.18621614082534688,3222.998090187859,-2238.5336429134113,3.519230769230769
0.5,1.0,2.0,0.5,0.6,194,1.05767282264508,0.33505154639175255,0.021567611241311534,95,1.3348435947219461,0.3894736842105263,0.17401383086152278,5147.603880445371,-2268.0669925859765,5.126315789473685
0.75,1.0,2.0,0.5,0.6,112,1.2959004680521,0.39285714285714285,0.17184677957538244,52,1.3344016500714104,0.40384615384615385,0.1791116001189685,2837.6836827732186,-1408.732480835708,5.0
1.0,1.5,1.5,0.5,0.6,61,0.8479238673796935,0.36065573770491804,-0.11025474821997172,21,1.3042140200763779,0.42857142857142855,0.0779687557490228,790.6851734443117,-1248.0434242336996,9.380952380952381
0.75,2.0,2.0,0.5,0.6,88,1.0845212990215938,0.36363636363636365,0.010671459954956582,46,1.3031233552371542,0.43478260869565216,0.16125362957246292,1899.7961862280572,-1661.4186313929822,15.108695652173912
1.0,2.0,1.5,0.5,0.6,58,1.05909658813404,0.41379310344827586,0.015204462118947035,21,1.2969653254787894,0.47619047619047616,0.1119555496591926,741.7454366019301,-1157.0826496679874,13.666666666666666
0.75,1.0,1.5,0.5,0.6,115,1.4898800588383114,0.4956521739130435,0.231393776980288,52,1.2758576120934533,0.46153846153846156,0.14016776678407006,2114.9144325027737,-1961.3929377462628,3.923076923076923
0.75,2.0,1.5,0.5,0.6,102,1.1841009329666636,0.43137254901960786,0.06661345124429897,49,1.2691646615344876,0.46938775510204084,0.11881457713472265,1650.0874685675517,-1900.9914210214192,11.755102040816327
1.0,1.25,1.5,0.5,0.6,62,1.1902724709812011,0.43548387096774194,0.08785744471270913,21,1.2664113666878065,0.42857142857142855,0.13456207512374405,780.1237175281713,-1443.798548304425,6.095238095238095
1.25,1.25,2.0,0.5,0.6,29,0.6960806474918322,0.2413793103448276,-0.2810664684493215,15,1.2243089241645717,0.4,0.1020505081425584,522.3382428985278,-1086.5365975069872,11.666666666666666
0.5,0.5,2.0,0.5,0.6,208,1.3665031361201792,0.41346153846153844,0.2279911042433199,111,1.2024011911548624,0.3783783783783784,0.10462190877331695,3927.332760623409,-4607.142453322609,0.972972972972973
0.5,1.5,2.0,0.5,0.6,169,1.1422020114063993,0.3609467455621302,0.060610336685389926,81,1.1814623503978232,0.38271604938271603,0.06318957413242747,2259.6034287083385,-3586.2373586920294,12.148148148148149
0.5,1.0,1.5,0.5,0.6,198,1.1138725523352695,0.41414141414141414,0.04846892655946368,100,1.1813322319944608,0.43,0.07927136486649697,2719.994535618476,-2846.279008458616,3.76
1.0,1.0,2.0,0.5,0.6,61,0.9913340188255841,0.32786885245901637,-0.03258443114213269,21,1.165683988593952,0.38095238095238093,0.06672379429786778,566.1307672628318,-1414.5005010952736,3.619047619047619
1.0,0.75,2.0,0.5,0.6,63,1.5964368189207883,0.42857142857142855,0.2815206419771988,21,1.1565923088490393,0.38095238095238093,0.059629634476997526,571.9818103187717,-1386.1864086871647,2.0952380952380953
0.5,1.5,1.5,0.5,0.6,183,1.0706955243861225,0.3989071038251366,0.01191800556932712,88,1.1545329702573757,0.4431818181818182,0.045980618951533825,1967.5996971824206,-2171.284138244315,8.284090909090908
0.5,0.5,1.5,0.5,0.6,209,1.486860239736745,0.5023923444976076,0.25713189582920787,112,1.1216997321895055,0.42857142857142855,0.05481371525918335,2185.511709340426,-3086.474850700186,0.6428571428571429
0.5,1.25,1.5,0.5,0.6,193,1.2209643565380441,0.43523316062176165,0.10131014123803839,94,1.1202145273382846,0.425531914893617,0.06649692156027302,1745.069096157873,-2220.737898399042,5.925531914893617
1.25,2.0,1.5,0.5,0.6,29,0.6319685700231402,0.27586206896551724,-0.3022052896546854,15,1.1166304070421456,0.4,0.0002348222472711529,216.5471407075529,-1122.3661314563797,18.466666666666665
0.5,0.75,1.5,0.5,0.6,202,1.3439130776750412,0.47029702970297027,0.17359779426236924,105,1.1052454776553446,0.4095238095238095,0.0317250403169503,1752.6308641749056,-3868.1568791959508,2.2666666666666666
1.0,0.75,1.5,0.5,0.6,63,1.9153426729270375,0.5396825396825397,0.37206650076905956,21,1.066929331214747,0.42857142857142855,0.017894143686797842,226.60904380423744,-1509.2952070730025,1.6666666666666667
1.25,1.5,1.5,0.5,0.6,29,0.48570565225152573,0.2413793103448276,-0.396822655702928,15,1.0617414342883735,0.4,-0.05130353855092389,125.94805396027368,-980.1241626131741,12.666666666666666
1.25,1.25,1.5,0.5,0.6,30,0.7554980031099799,0.3333333333333333,-0.16316480151259577,15,1.0528564154121793,0.4,0.027858226509162757,123.08439022272796,-914.811569680307,8.133333333333333
1.0,2.0,2.0,0.5,0.6,51,1.1738018242979307,0.37254901960784315,0.07750478717802807,21,1.028061889251617,0.38095238095238093,0.006052392987007316,85.2724900486719,-1669.9268814789611,15.80952380952381
0.5,0.75,2.0,0.5,0.6,201,1.1205487108042003,0.3582089552238806,0.06519185056900863,102,1.0041289347819708,0.3235294117647059,-0.025873451952204106,76.4460945520841,-4533.641720323649,3.049019607843137
1.0,0.5,1.5,0.5,0.6,63,1.40617535059249,0.49206349206349204,0.2136354820795144,21,0.9249763660368034,0.38095238095238093,-0.04510163222057493,-278.51856930632493,-1872.2560079245523,0.19047619047619047
1.0,1.0,1.5,0.5,0.6,62,1.6398621311612165,0.5161290322580645,0.27212739925336543,21,0.8790432382118238,0.38095238095238093,-0.08697756615718635,-413.30091662983614,-1546.9827718070737,3.2857142857142856
1.25,1.0,2.0,0.5,0.6,29,0.34468968572292286,0.13793103448275862,-0.5768481668723144,15,0.7912780175002051,0.26666666666666666,-0.17722614981755708,-592.2524839310645,-1454.7687066628496,4.666666666666667
0.5,2.0,1.5,0.5,0.6,152,0.960154115419227,0.375,-0.05018769306162675,71,0.7844396348626317,0.36619718309859156,-0.11996292698888034,-2317.318489383266,-4748.809479067699,14.661971830985916
1.0,0.5,2.0,0.5,0.6,63,1.627799477477812,0.4603174603174603,0.34309375556423033,21,0.7797889708360992,0.2857142857142857,-0.16752102569321925,-940.5562160439076,-2571.4937680237563,0.42857142857142855
1.25,0.75,1.5,0.5,0.6,30,1.1001657581956878,0.4,0.059804560950825494,15,0.7760532671889367,0.3333333333333333,-0.18188991899735912,-626.5657516814172,-1479.4314351305948,2.1333333333333333
1.25,0.75,2.0,0.5,0.6,30,0.9517942476681348,0.3,-0.07953649523086972,15,0.7701179977435286,0.26666666666666666,-0.21682799788307877,-704.5238565289328,-1330.388880579776,2.6
1.25,2.0,2.0,0.5,0.6,28,0.7111362809708535,0.25,-0.24132247624956807,15,0.6585536068944562,0.26666666666666666,-0.24139736308578735,-818.6771008520154,-1784.7774850154965,20.666666666666668
1.25,1.0,1.5,0.5,0.6,30,0.8246005963294809,0.3333333333333333,-0.15035747805774322,15,0.5936680884573609,0.26666666666666666,-0.29904028846263364,-1152.9743107524482,-1587.2509773746497,4.266666666666667
1.25,0.5,1.5,0.5,0.6,30,0.978254631879558,0.4,0.014199032383867964,15,0.5369412077324824,0.26666666666666666,-0.3269740525501423,-1464.7753082644485,-1772.4897591202098,0.3333333333333333
0.5,2.0,2.0,0.5,0.6,133,0.8618224075924463,0.3082706766917293,-0.10345558017436045,66,0.4363276457392937,0.21212121212121213,-0.38871977605312447,-6975.910620231276,-7192.56725439868,17.833333333333332
1.25,0.5,2.0,0.5,0.6,30,1.1069055773895913,0.36666666666666664,0.09914456018947698,15,0.3109364682964592,0.13333333333333333,-0.59187114153055,-2564.6995362357557,-2599.7096565128813,0.6666666666666666
