fecha_inicio,fecha_fin,operaciones_seguidas,motivos,perdida_total_usd
2026-04-15,2026-04-23,7,SL|SL|SL|sesion|SL|SL|SL,-1777.7
2026-04-28,2026-04-28,2,SL|SL,-386.19
2026-04-30,2026-05-07,6,SL|SL|SL|SL|SL|SL,-1741.72
2026-05-11,2026-05-12,2,SL|SL,-501.44
2026-05-15,2026-05-18,2,SL|SL,-525.32
2026-05-21,2026-05-21,2,SL|SL,-508.84
2026-06-09,2026-06-10,2,SL|SL,-458.37
2026-06-22,2026-06-25,5,SL|SL|SL|SL|SL,-1190.42
2026-07-08,2026-07-13,2,SL|SL,-519.78
2026-07-16,2026-07-16,2,SL|SL,-552.81
2026-08-14,2026-08-17,3,SL|SL|SL,-938.45
2026-08-20,2026-08-20,2,SL|SL,-538.93
2026-08-21,2026-08-26,5,SL|SL|SL|SL|SL,-1363.39
2026-08-27,2026-08-27,3,SL|SL|SL,-616.43
2026-09-03,2026-09-04,3,SL|SL|SL,-799.21
