fecha_inicio,fecha_fin,operaciones_seguidas,motivos,ganancia_total_usd
2026-08-03,2026-08-03,5,TP|TP|TP|TP|TP,1238.9
2026-08-03,2026-08-03,6,TP|TP|TP|TP|TP|TP,1421.7
2026-08-03,2026-08-04,3,TP|SL|TP,715.92
2026-08-05,2026-08-05,3,TP|TP|TP,778.77
2026-08-05,2026-08-05,3,TP|TP|TP,772.65
2026-08-06,2026-08-06,2,TP|TP,511.9
2026-08-06,2026-08-06,3,TP|TP|TP,755.34
2026-08-06,2026-08-06,2,TP|TP,534.54
2026-08-06,2026-08-07,3,TP|TP|TP,753.35
2026-08-07,2026-08-07,2,TP|TP,605.98
2026-08-07,2026-08-10,3,TP|TP|TP,747.03
2026-08-10,2026-08-10,3,TP|TP|TP,810.31
2026-08-10,2026-08-11,5,TP|TP|TP|TP|TP,1239.65
2026-08-11,2026-08-11,2,TP|TP,502.38
2026-08-11,2026-08-11,3,TP|TP|TP,744.0
2026-08-11,2026-08-11,3,TP|TP|TP,776.16
2026-08-11,2026-08-12,2,TP|TP,486.08
2026-08-12,2026-08-13,8,TP|TP|TP|TP|TP|TP|TP|TP,1866.51
2026-08-13,2026-08-13,4,TP|TP|TP|TP,1022.93
2026-08-13,2026-08-14,2,TP|SL,443.76
2026-08-14,2026-08-14,5,TP|TP|TP|TP|TP,1229.77
2026-08-17,2026-08-17,8,TP|TP|TP|TP|TP|TP|TP|TP,1939.68
2026-08-17,2026-08-18,3,TP|TP|TP,766.53
2026-08-18,2026-08-18,2,TP|TP,521.73
2026-08-18,2026-08-18,2,TP|TP,483.04
2026-08-19,2026-08-19,2,TP|TP,490.18
2026-08-19,2026-08-19,5,TP|TP|TP|TP|TP,1223.83
2026-08-19,2026-08-20,6,TP|TP|TP|TP|TP|TP,1492.51
2026-08-20,2026-08-21,9,TP|TP|TP|TP|TP|TP|SL|TP|TP,2108.17
2026-08-21,2026-08-21,3,TP|TP|TP,759.21
2026-08-24,2026-08-24,2,TP|TP,498.62
2026-08-24,2026-08-25,6,TP|TP|TP|TP|TP|TP,1769.91
2026-08-25,2026-08-25,2,TP|TP,506.03
2026-08-25,2026-08-26,4,TP|TP|TP|TP,1255.76
2026-08-26,2026-08-26,3,TP|TP|TP,733.67
2026-08-26,2026-08-26,2,TP|TP,506.93
2026-08-26,2026-08-27,5,TP|TP|TP|TP|TP,1274.87
2026-08-27,2026-08-27,3,TP|TP|TP,681.5
2026-08-27,2026-08-27,2,TP|TP,528.68
2026-08-27,2026-08-28,4,TP|TP|TP|TP,1008.83
2026-08-28,2026-08-28,3,TP|TP|TP,741.84
2026-08-28,2026-08-28,2,TP|TP,493.2
2026-08-28,2026-08-31,6,TP|TP|TP|TP|TP|TP,1565.84
2026-08-31,2026-08-31,3,SL|TP|TP,499.09
2026-08-31,2026-08-31,2,TP|TP,506.25
2026-08-31,2026-08-31,4,TP|TP|TP|TP,1001.58
2026-09-01,2026-09-01,4,TP|TP|TP|TP,998.59
2026-09-01,2026-09-02,6,TP|TP|TP|TP|TP|TP,1460.07
2026-09-02,2026-09-02,3,TP|TP|TP,754.91
2026-09-03,2026-09-03,3,TP|TP|TP,762.94
2026-09-03,2026-09-04,6,TP|TP|TP|TP|TP|TP,1453.47
2026-09-04,2026-09-04,5,TP|TP|TP|TP|TP,1238.27
2026-09-04,2026-09-04,3,TP|TP|TP,743.65
