tf,src,at_mult,tp_r_mult,sl_buffer_atr,train_n,train_pf,train_exp,test_n,test_pf,test_exp,piv_atr_factor,piv_period,diy_swing_length,diy_box_width
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,0.5,0.05,1223,0.43880562799392775,-0.2663057619106485,494,0.41424466277666827,-0.29102257210083027,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,0.5,0.1,1172,0.5102788320232434,-0.21271178543656336,469,0.4392203163933882,-0.2657493800358607,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,0.5,0.2,1053,0.5859240056971466,-0.16824294714195312,415,0.48188106253544477,-0.2367544602617351,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,0.5,0.3,962,0.629414050622766,-0.14504807870059147,370,0.556388831285189,-0.193998738107104,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.0,0.05,910,0.6549911506357453,-0.20060660939833033,356,0.5478040570970907,-0.29502725138041064,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.0,0.1,858,0.7105956372703042,-0.1533802847205772,326,0.5788496451270115,-0.2638957849342206,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.0,0.2,771,0.7388698313068816,-0.13834250113237065,305,0.6095418097659906,-0.24235370742713944,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.0,0.3,684,0.754151941071107,-0.12032224542847081,277,0.7153133806173649,-0.16110110544859318,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.5,0.05,752,0.658312125888856,-0.23069842627122736,323,0.5814985615677926,-0.31252224471087103,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.5,0.1,727,0.7019559528289527,-0.19086526426336006,299,0.6281034447088695,-0.26895684998322317,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.5,0.2,634,0.764778161918758,-0.14643776419970103,268,0.6105847628275801,-0.2869906895400189,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,1.5,0.3,559,0.8143684497900789,-0.1101258192558719,238,0.6535306970204936,-0.23578480225333714,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.0,0.05,660,0.7271280195098205,-0.20027438221376367,295,0.6855969160176332,-0.23848073947017623,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.0,0.1,624,0.7995421269845523,-0.13843899418614702,277,0.7444291900727155,-0.18204804999166208,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.0,0.2,552,0.8046778662483927,-0.12585937970836622,234,0.6471750035788985,-0.2803045765757692,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.0,0.3,499,0.9068050354093613,-0.04747051170321089,208,0.7159963856198827,-0.19693880948017725,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.5,0.05,595,0.8341340719920858,-0.12425882176979029,247,0.6764916524505405,-0.2610805175679337,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.5,0.1,554,0.8345597634780241,-0.11022315662719087,226,0.711389596083501,-0.22460239640632454,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.5,0.2,493,0.8824154629333495,-0.06360155304666627,213,0.7015865931533833,-0.23393781959507393,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,2.5,0.3,424,0.9183693475508122,-0.046737742481038194,190,0.6758525164234757,-0.2413139463867436,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,3.0,0.05,545,0.8372162079076374,-0.13017451301385286,229,0.6815436543777647,-0.2713552404122836,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,3.0,0.1,514,0.8217005409841269,-0.1216018924297934,222,0.7368813259323449,-0.22446813016808548,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,3.0,0.2,444,0.8617455538293849,-0.08515755087491227,182,0.6664854790576881,-0.2800979819620514,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.5,3.0,0.3,388,0.9661826025083531,-0.014205316460432736,160,0.6278547668899336,-0.28549704669974163,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,0.5,0.05,1035,0.43955720941417886,-0.2707801944317682,438,0.4028867502516768,-0.2957690385497071,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,0.5,0.1,997,0.49948275032321227,-0.22301951043180196,422,0.44671148233646685,-0.26308261786019027,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,0.5,0.2,903,0.5547201742309361,-0.18836605608610035,370,0.5436063374701005,-0.18986805533854342,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,0.5,0.3,817,0.5989373473366568,-0.1645678438595123,327,0.6180336309444445,-0.1606694742446606,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.0,0.05,802,0.6209947582618583,-0.22847739014027513,329,0.5438469885413617,-0.2852339420271607,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.0,0.1,754,0.6672170769928731,-0.18566842994651334,313,0.6343040749047584,-0.21132154664774272,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.0,0.2,669,0.6995725279193259,-0.16561625858790355,272,0.7186710902134572,-0.15725281391206214,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.0,0.3,589,0.7328368766704251,-0.15266069323195247,235,0.8540294761677327,-0.07946676343140477,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.5,0.05,670,0.7194152246422297,-0.1908484419282405,302,0.6156166593046801,-0.28048899310178127,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.5,0.1,646,0.7391887097588423,-0.16925774190378395,276,0.6727629452979356,-0.23673484337221382,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.5,0.2,570,0.7620721363409689,-0.14180066825871565,237,0.7509493348985763,-0.17627060850614468,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,1.5,0.3,503,0.7049732417715111,-0.19351418355750494,208,0.7699352275144389,-0.1672577475921519,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.0,0.05,588,0.7701723749093035,-0.1712922198508624,277,0.6702372267611544,-0.25326679044436246,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.0,0.1,554,0.7646351287454859,-0.16976465443490812,246,0.7337489189220593,-0.19942045696120814,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.0,0.2,501,0.7566788635179968,-0.1649661173832337,209,0.8019624205138197,-0.14830246382156337,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.0,0.3,447,0.7424487711758476,-0.1906127316670411,189,0.7854345215320135,-0.1661302397863854,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.5,0.05,535,0.8290809670112143,-0.12454155911278711,239,0.6441214901340557,-0.2860500866941257,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.5,0.1,503,0.7803426834938312,-0.1620507479377688,220,0.7854761937738324,-0.16565884681428827,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.5,0.2,446,0.7664091023869346,-0.16822989665861168,184,0.8591341003727093,-0.10037705245856589,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,2.5,0.3,398,0.7005395294648897,-0.23300042554320247,177,0.7375276612826912,-0.21610548628126283,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,3.0,0.05,500,0.7778136679274803,-0.17246306003758408,222,0.6742633018856465,-0.2601919339909361,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,3.0,0.1,463,0.7616768798207888,-0.18271163931603643,209,0.8063208655174651,-0.16007987349116262,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,3.0,0.2,411,0.7856632594397497,-0.14934924084773296,169,0.8048175718739802,-0.1621176999362053,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,0.75,3.0,0.3,376,0.6934295090563278,-0.23971771087937002,170,0.6730254158716064,-0.2875268400283167,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,0.5,0.05,921,0.4347795006127152,-0.2739851728984742,402,0.3976707929032638,-0.3073715950983092,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,0.5,0.1,891,0.47753299306225283,-0.24087455026173588,386,0.44388804038752616,-0.2670905760718416,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,0.5,0.2,798,0.5705936065354291,-0.18017024750115151,346,0.5023222226911489,-0.22685763667595576,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,0.5,0.3,723,0.6487109143626112,-0.13813090948978973,300,0.5665591065239589,-0.1974599382314006,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.0,0.05,715,0.6043304336329993,-0.24136589099549674,310,0.5057822323052446,-0.3300101227129713,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.0,0.1,677,0.6618315701769573,-0.19465607457776124,299,0.5838685846754942,-0.2616677118753106,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.0,0.2,597,0.7537875853792924,-0.1319473832143315,259,0.634393101526475,-0.2220617676417004,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.0,0.3,518,0.7903844033622373,-0.10784875077127092,219,0.68977087678537,-0.18892575503277492,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.5,0.05,615,0.7326227361854506,-0.18734755146157825,285,0.530503872954818,-0.3590028155632249,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.5,0.1,570,0.7632488121501129,-0.1530872512738709,268,0.6117694434999937,-0.28321634762929004,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.5,0.2,489,0.8810713507521074,-0.06546806505669568,231,0.6359758654722072,-0.26369392762918387,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,1.5,0.3,456,0.9258854527810159,-0.038002740462154155,201,0.6300697242046693,-0.27936503206503344,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.0,0.05,527,0.7854459519103618,-0.16934344836642365,269,0.5494840185628936,-0.3705766451046891,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.0,0.1,492,0.8119304906448581,-0.13440367646808007,252,0.6394808553155917,-0.27867938123821673,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.0,0.2,460,0.8976330815035696,-0.05527905919296569,201,0.7549999358666362,-0.19854960759172888,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.0,0.3,417,0.9624521400219469,-0.022703055119468265,181,0.7893030229654752,-0.17358175714992038,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.5,0.05,498,0.836799784166361,-0.13498589317764073,225,0.5492584053121139,-0.38204297675532783,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.5,0.1,468,0.880972622940146,-0.08192158593686377,217,0.6287890988959417,-0.29286633124054656,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.5,0.2,424,0.9774579954618344,0.01233019176085407,179,0.8409431660976857,-0.12032863639295671,,,,
0656b659-CME_MINI_MNQ1_5.csv,at,1.0,2.5,0.3,381,1.0231638407649126,0.023000343273929153,165,0.8141998719642775,-0.15967118616576328,,,,
