sd_mult,sl_mult,tp1_mult,tp2_mult,tp3_mult,rsi_bull,rsi_bear,piv_left,piv_right,train_trades,train_profit_factor,train_win_rate,train_expectancy_r,test_trades,test_profit_factor,test_win_rate,test_expectancy_r,test_net_pnl_usd,test_max_drawdown_usd,test_avg_bars_held
0.5,1.5,1.5,2.5,3.5,30.0,50.0,3,2,35,1.6653987673161064,0.5714285714285714,0.24777431989891566,20,1.5999111160085182,0.6,0.3615459651642061,5060.894720339186,-3022.287477026589,15.1
0.5,1.5,1.5,2.5,3.0,30.0,50.0,3,2,36,1.6159831557444992,0.5555555555555556,0.22359096657047667,20,1.5912009812181755,0.6,0.35885944763800287,4987.415376487085,-3022.287477026589,14.7
0.5,1.5,1.5,2.5,3.5,40.0,50.0,3,2,33,1.8266262087424463,0.5757575757575758,0.28003526986625593,20,1.560163969904683,0.6,0.36140094340725476,4725.584844429844,-3022.287477026589,14.6
0.5,1.5,1.5,2.5,3.0,40.0,50.0,3,2,34,1.7631011363821332,0.5588235294117647,0.2534805148723988,20,1.552357179343973,0.6,0.3587144258810515,4659.726179575684,-3022.287477026589,14.2
0.5,1.5,0.5,2.5,3.5,30.0,50.0,3,2,36,1.7021117924352303,0.5555555555555556,0.20697685936167043,20,1.5259366883566587,0.6,0.2860851579286662,3576.4799572103348,-3022.287477026589,15.1
0.5,1.5,1.0,2.5,3.5,30.0,50.0,3,2,35,1.6293236585484792,0.6,0.2076986925454882,20,1.5175091121187276,0.6,0.308212631830871,4070.761739464271,-3022.287477026589,15.1
0.5,1.5,0.5,2.5,3.0,30.0,50.0,3,2,37,1.63578614746884,0.5405405405405406,0.18454974424581752,20,1.5151312362835154,0.6,0.28339864040246293,3503.000613358234,-3022.287477026589,14.7
0.5,1.5,1.5,2.5,4.0,30.0,50.0,3,2,35,1.6632422262443305,0.5714285714285714,0.24285657617877365,19,1.5143723324237515,0.5789473684210527,0.31404952401120684,4339.283190436753,-3022.287477026589,16.31578947368421
0.5,1.5,1.0,2.5,3.0,30.0,50.0,3,2,36,1.5775049036470843,0.5833333333333334,0.1846285510879778,20,1.5081678063804627,0.6,0.3055261143046678,3997.28239561217,-3022.287477026589,14.7
0.5,1.5,0.5,2.5,3.5,40.0,50.0,3,2,34,1.782796224195786,0.5588235294117647,0.22168801363348,20,1.4855931634288866,0.6,0.2859401361717152,3302.1355132845183,-3022.287477026589,14.6
